ANO_ESCOLAR	RBD	NOMBRE_ESTA	TIPO_DEPENDENCIA	RURAL_ESTAB	CP_REGION	NOM_REGION	COD_COMUNA	NOM_COMUNA	TOTAL_MATRICULA	TOTAL_DOCENTES	TOTAL_ASISTENTES
2013	15601	COLEGIO ANTILEN	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6115	RENGO                                             	977	56	36
2013	15605	COLEGIO HUMANISTA INTEGRADO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	232	17	7
2013	15607	CENTRO TRAST. Y TRAT. LENG. CHOIN RAYEN	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	128	8	13
2013	15608	ESCUELA SAN HERNAN	1	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	429	21	15
2013	15610	COLEGIO PARTIC, SAN JOSE DE LA MONTANA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6303	CHIMBARONGO                                       	733	33	15
2013	15613	JARDIN INFANTIL HAPPY WORLD	3	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6105	DOÑIHUE                                           	14	1	1
2013	15614	ESCUELA EL NARANJAL	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6115	RENGO                                             	916	41	17
2013	15615	ESCUELA QUEBRADA NUEVO REINO	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6201	PICHILEMU                                         	7	1	1
2013	15621	COLEGIO PARTICULAR EL REAL	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	487	25	14
2013	15598	JARDIN INFANTIL COLORIN COLORADO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	20	1	2
2013	15624	COLEGIO MISTRAL	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6107	LAS CABRAS                                        	1187	54	31
2013	15627	COLEGIO SAN FRANCISCO	3	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6108	MACHALÍ                                           	311	24	17
2013	15628	JARDIN INFANTIL SAN FRANCISCO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	18	1	1
2013	15629	COLEGIO PARTICULAR SUBVENCIONADO RAICES	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	99	8	8
2013	15631	TRINITY COLLEGE	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6108	MACHALÍ                                           	479	45	3
2013	15632	COLEGIO SAN ANGELO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	322	21	15
2013	15633	BRITISH COLLEGE L.T.D.	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	483	35	16
2013	15641	CENTRO DE ESTIMULACION TEMPRANA LAS ENCINAS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	40	4	8
2013	15643	INSTITUTO CRISTIANO EDUMASTER COLLEGE	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	391	18	4
2013	15644	COLEGIO AUDICION Y LENG. SAN GASPAR	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	52	7	7
2013	15622	COLEGIO PARTICULAR LOMAS BLANCAS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6305	NANCAGUA                                          	266	19	9
2013	15650	COLEGIO NAZARETH	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	256	19	9
2013	15653	CENTTRO TRAST.LENGUAJE NUESTRA ESPERAN	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	127	5	8
2013	15656	CENTRO TRAST.LENGUAJE LOS BRUJITOS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6108	MACHALÍ                                           	64	5	4
2013	15657	COLEGIO NEHUEN	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6117	SAN VICENTE                                       	767	31	12
2013	15658	JARDIN INFANTIL LOS PAJARITOS DE ASIS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6110	MOSTAZAL                                          	12	1	4
2013	15659	JARDIN INFANTIL CARRUSEL	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	0	2	5
2013	15660	CENTRO REHAB. DEL LENGUAJE ORAL CERLO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	71	4	3
2013	15661	COLEGIO DIVINA ESPERANZA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	42	4	4
2013	15662	INSTITUTO SAN LORENZO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	1012	64	36
2013	15663	ESCUELA DEL LENGUAJE SANTA MARIA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6310	SANTA CRUZ                                        	128	6	8
2013	15646	INSTITUTO SANTA TERESA DE LOS ANDES	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	2198	75	55
2013	15665	LICEO INTEGRADO DE ADULTOS	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	281	20	4
2013	15666	COLEGIO TOMAS GUAGLEN	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	63	13	2
2013	15669	JARDIN INFANTIL DIVINA PROVIDENCIA DE JESUS	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	55	4	6
2013	15672	C.DE TRANS.DE LA COMUNIC. STA.TERESA DE JESUS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6117	SAN VICENTE                                       	139	8	8
2013	15673	ESC. ESP.  EL ROBLE, CENTRO DE ATENCION A NECES. EDUC. ESP.	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	69	6	8
2013	15674	COL. ESTIM. DEL LENGUAJE SANT. TRINIDAD	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6115	RENGO                                             	45	4	3
2013	15675	CENTRO TRASTORNOS DEL LENGUAJE VOCECITAS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	131	6	8
2013	15676	COLEGIO HISPANO CHILENO EL PILAR	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	671	35	18
2013	15677	JARDIN INFANTIL GIRASOLES INTERACTIVOS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	8	2	1
2013	15664	COLEGIO MANQUEMAVIDA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6310	SANTA CRUZ                                        	1122	57	61
2013	15682	COLEGIO MAGISTER	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	274	30	5
2013	15683	COLEGIO EVELYN S SCHOOL	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6310	SANTA CRUZ                                        	472	32	21
2013	15684	INSTITUTO HANS CHRISTIAN ANDERSEN	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	424	34	19
2013	15687	ESCUELA MUNICIPAL DE LENGUAJE SANTA CRUZ	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6310	SANTA CRUZ                                        	57	4	9
2013	15689	JARDIN INFANTIL PADRE HURTADO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	62	2	5
2013	15690	COLEGIO LOS CIPRESES	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6105	DOÑIHUE                                           	724	76	28
2013	15691	ECUELA DE LENGUAJE LOS PALTOS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6112	PEUMO                                             	50	3	7
2013	15692	ESCUELA DE LENGUAJE CUMBRES BLANCAS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	147	7	6
2013	15694	JARDIN INFANTIL GENTE CHICA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	22	3	2
2013	15679	JARDIN INFANTIL AVENTURAS MAGICAS	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	21	2	1
2013	15681	CENTRO EDUCATIVO INTEGRAL MARIA MAGDALENA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	41	2	4
2013	15698	ESCUELA DE LENGUAJE SAN IGNACIO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6117	SAN VICENTE                                       	54	3	4
2013	15700	COLEGIO LA REPUBLICA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	792	49	19
2013	15705	COLEGIO SANTA TERESA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	146	15	8
2013	15706	CENTRO DE LENGUAJE SABERES	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	66	5	4
